Designator,Mid X,Mid Y,Rotation,Layer
_3,75.7705,-21.420625,0.0,top
_2,207.6755,-21.420625,0.0,top
,207.6755,-149.530625,0.0,top
D1,138.238,-138.180625,90.0,bottom
D10,114.33675,-100.155625,90.0,bottom
D11,196.3405,-96.270625,180.0,bottom
D12,127.7605,-65.155625,0.0,bottom
D13,146.8105,-65.155625,0.0,bottom
D14,165.8605,-65.155625,0.0,bottom
D15,184.9105,-65.155625,0.0,bottom
D16,203.9605,-65.155625,0.0,bottom
D17,114.0755,-70.695625,270.0,bottom
D18,133.8255,-70.595625,270.0,bottom
D19,152.4755,-70.895625,270.0,bottom
D2,171.5755,-119.130625,90.0,bottom
D20,171.6755,-70.795625,270.0,bottom
D21,190.6255,-70.795625,270.0,bottom
D22,108.808,-75.930625,0.0,bottom
D23,156.2855,-45.705625,0.0,bottom
D24,76.16675,-40.390625,90.0,bottom
D25,89.50175,-46.105625,0.0,bottom
D26,89.50175,-65.155625,0.0,bottom
D27,76.16675,-100.080625,90.0,bottom
D28,89.2605,-105.795625,0.0,bottom
D3,152.5255,-119.130625,90.0,bottom
D4,120.1405,-105.795625,180.0,bottom
D5,101.0905,-105.795625,180.0,bottom
D6,177.2905,-96.270625,180.0,bottom
D7,171.58675,-100.155625,90.0,bottom
D8,152.58675,-100.155625,90.0,bottom
D9,133.48675,-100.005625,90.0,bottom
J3,180.3755,-32.405625,0.0,bottom
R1,135.85675,-36.724375,90.0,bottom
R2,138.38175,-39.105625,270.0,bottom
R3,113.1255,-134.795625,270.0,bottom
R4,109.83675,-134.226875,90.0,bottom
S1,152.5255,-134.370625,180.0,top
S10,104.9005,-96.270625,180.0,top
S11,200.1505,-105.795625,180.0,top
S12,123.9505,-55.630625,0.0,top
S13,143.0005,-55.630625,0.0,top
S14,162.0505,-55.630625,0.0,top
S15,181.1005,-55.630625,0.0,top
S16,200.1505,-55.630625,0.0,top
S17,123.9505,-74.680625,0.0,top
S18,143.0005,-74.680625,0.0,top
S19,162.0505,-74.680625,0.0,top
S2,162.0505,-115.320625,180.0,top
S20,181.1005,-74.680625,0.0,top
S21,200.1505,-74.680625,0.0,top
S22,104.9005,-65.155625,0.0,top
S23,152.5255,-36.580625,0.0,top
S24,83.3105,-36.580625,270.0,top
S25,83.3105,-55.630625,270.0,top
S26,83.3105,-74.680625,270.0,top
S27,83.3105,-96.270625,270.0,top
S28,83.3105,-115.320625,270.0,top
S3,143.0005,-115.320625,180.0,top
S4,123.9505,-115.320625,180.0,top
S5,104.9005,-115.320625,180.0,top
S6,181.1005,-105.795625,180.0,top
S7,162.0505,-96.270625,180.0,top
S8,143.0005,-96.270625,180.0,top
S9,123.9505,-96.270625,180.0,top
SW1,200.1505,-134.370625,0.0,bottom
SW2,200.1505,-36.580625,0.0,bottom
U1,123.9505,-125.321875,90.0,bottom
U2,104.9005,-143.101875,180.0,bottom
U3,123.9505,-45.629375,270.0,bottom
U4,104.9005,-27.849375,0.0,bottom
